Column,Data_Type,Non_Null_Count,Missing_Count,Missing_Percentage,Unique_Values,Column_Type
AINextMuch less integrated,str,1148,64289,98.25,286,Categorical/Text
AINextLess integrated,str,2355,63082,96.4,249,Categorical/Text
AINextNo change,str,12498,52939,80.9,539,Categorical/Text
AINextMuch more integrated,str,13438,51999,79.46,700,Categorical/Text
EmbeddedAdmired,str,16733,48704,74.43,1053,Categorical/Text
EmbeddedWantToWorkWith,str,17600,47837,73.1,1471,Categorical/Text
EmbeddedHaveWorkedWith,str,22214,43223,66.05,1630,Categorical/Text
ConvertedCompYearly,float64,23435,42002,64.19,6113,Numeric
AIToolNot interested in Using,str,24414,41023,62.69,1531,Categorical/Text
AINextMore integrated,str,24428,41009,62.67,884,Categorical/Text
Knowledge_9,str,27635,37802,57.77,5,Categorical/Text
Frequency_3,str,27710,37727,57.65,5,Categorical/Text
Knowledge_8,str,27758,37679,57.58,5,Categorical/Text
ProfessionalTech,str,27764,37673,57.57,514,Categorical/Text
Knowledge_7,str,27778,37659,57.55,5,Categorical/Text
Knowledge_6,str,27864,37573,57.42,5,Categorical/Text
Knowledge_5,str,27880,37557,57.39,5,Categorical/Text
Knowledge_2,str,28021,37416,57.18,5,Categorical/Text
Knowledge_4,str,28030,37407,57.16,5,Categorical/Text
Knowledge_3,str,28095,37342,57.07,5,Categorical/Text
Frustration,str,28251,37186,56.83,954,Categorical/Text
Frequency_2,str,28364,37073,56.65,5,Categorical/Text
Frequency_1,str,28369,37068,56.65,5,Categorical/Text
ProfessionalCloud,str,28491,36946,56.46,3,Categorical/Text
Knowledge_1,str,28664,36773,56.2,5,Categorical/Text
ProfessionalQuestion,str,28807,36630,55.98,9,Categorical/Text
TimeAnswering,str,28844,36593,55.92,5,Categorical/Text
Industry,str,28858,36579,55.9,15,Categorical/Text
TimeSearching,str,28911,36526,55.82,5,Categorical/Text
JobSat,float64,29126,36311,55.49,11,Numeric
JobSatPoints_1,float64,29324,36113,55.19,91,Numeric
JobSatPoints_4,float64,29393,36044,55.08,72,Numeric
JobSatPoints_5,float64,29411,36026,55.05,78,Numeric
JobSatPoints_7,float64,29448,35989,55.0,91,Numeric
JobSatPoints_11,float64,29445,35992,55.0,79,Numeric
JobSatPoints_6,float64,29450,35987,54.99,93,Numeric
JobSatPoints_9,float64,29456,35981,54.99,85,Numeric
JobSatPoints_10,float64,29450,35987,54.99,75,Numeric
JobSatPoints_8,float64,29456,35981,54.99,89,Numeric
MiscTechAdmired,str,29596,35841,54.77,4917,Categorical/Text
WorkExp,float64,29658,35779,54.68,51,Numeric
ICorPM,str,29801,35636,54.46,2,Categorical/Text
AIToolInterested in Using,str,30691,34746,53.1,1949,Categorical/Text
PlatformAdmired,str,31377,34060,52.05,2556,Categorical/Text
MiscTechWantToWorkWith,str,32964,32473,49.62,10263,Categorical/Text
CompTotal,float64,33740,31697,48.44,3337,Numeric
PlatformWantToWorkWith,str,34532,30905,47.23,4784,Categorical/Text
WebframeAdmired,str,34943,30494,46.6,5460,Categorical/Text
AIToolCurrently Using,str,35072,30365,46.4,1310,Categorical/Text
